strategy,mention_count,percentage
Flawed Reasoning,280,13.480982185844969
Misusing Evidence,280,13.480982185844969
Distorting the Argument,280,13.480982185844969
Appealing to Emotion,280,13.480982185844969
Exploiting Social Biases,276,13.288396726047184
No Deception,243,11.699566682715455
Misrepresenting Authority,225,10.832932113625422
Manipulative Language,213,10.255175734232065
