persuasion_level,Appealing to Emotion,Appealing to Social Norms,Attacking or Evading the Point,Framing for Perception Manipulation,Misusing Authority,Misusing Evidence,Using Flawed Reasoning,Using Uncertainty
High,24.731182795698924,7.526881720430108,9.67741935483871,17.20430107526882,5.376344086021505,16.129032258064516,17.20430107526882,2.1505376344086025
Low,21.24756335282651,1.6569200779727096,10.038986354775828,22.807017543859647,6.725146198830409,20.37037037037037,15.984405458089668,1.1695906432748537
Medium,20.2020202020202,3.0303030303030303,12.121212121212121,23.232323232323232,8.080808080808081,18.181818181818183,13.131313131313133,2.0202020202020203
Unknown,20.68388330942133,2.5585844093735055,12.09947393591583,20.373027259684363,6.814921090387374,18.483978957436634,16.857962697274033,2.1281683405069347
