strategy,avg_persuasion,argument_count
Appealing to Social Norms,1.0588235294117647,17
Using Uncertainty,0.875,16
Framing for Perception Manipulation,0.5714285714285714,63
Attacking or Evading the Point,0.56,50
Appealing to Emotion,0.5483870967741935,62
Misusing Evidence,0.5333333333333333,60
Using Flawed Reasoning,0.5254237288135594,59
Misusing Authority,0.47368421052631576,38
